Id,ActivityHour,TotalIntensity,AverageIntensity
8792009665,2016-04-12,16,0.266667
8792009665,2016-04-12,1,0.016667
8792009665,2016-04-12,1,0.016667
8792009665,2016-04-12,5,0.083333
8792009665,2016-04-12,7,0.116667
8792009665,2016-04-12,2,0.033333
8792009665,2016-04-12,22,0.366667
8792009665,2016-04-12,29,0.483333
8792009665,2016-04-12,4,0.066667
8792009665,2016-04-12,1,0.016667
8792009665,2016-04-12,3,0.05
8792009665,2016-04-12,10,0.166667
8792009665,2016-04-13,12,0.2
8792009665,2016-04-13,3,0.05
8792009665,2016-04-13,1,0.016667
8792009665,2016-04-13,0,0
8792009665,2016-04-13,0,0
8792009665,2016-04-13,0,0
8792009665,2016-04-13,1,0.016667
8792009665,2016-04-13,3,0.05
8792009665,2016-04-13,0,0
8792009665,2016-04-13,0,0
8792009665,2016-04-13,4,0.066667
8792009665,2016-04-13,8,0.133333
8792009665,2016-04-13,2,0.033333
8792009665,2016-04-13,7,0.116667
8792009665,2016-04-13,0,0
8792009665,2016-04-13,4,0.066667
8792009665,2016-04-13,1,0.016667
8792009665,2016-04-13,4,0.066667
8792009665,2016-04-13,7,0.116667
8792009665,2016-04-13,11,0.183333
8792009665,2016-04-13,7,0.116667
8792009665,2016-04-13,2,0.033333
8792009665,2016-04-13,5,0.083333
8792009665,2016-04-13,0,0
8792009665,2016-04-14,15,0.25
8792009665,2016-04-14,4,0.066667
8792009665,2016-04-14,2,0.033333
8792009665,2016-04-14,0,0
8792009665,2016-04-14,0,0
8792009665,2016-04-14,0,0
8792009665,2016-04-14,1,0.016667
8792009665,2016-04-14,0,0
8792009665,2016-04-14,1,0.016667
8792009665,2016-04-14,0,0
8792009665,2016-04-14,0,0
8792009665,2016-04-14,13,0.216667
8792009665,2016-04-14,10,0.166667
8792009665,2016-04-14,2,0.033333
8792009665,2016-04-14,0,0
8792009665,2016-04-14,3,0.05
8792009665,2016-04-14,3,0.05
8792009665,2016-04-14,7,0.116667
8792009665,2016-04-14,13,0.216667
8792009665,2016-04-14,0,0
8792009665,2016-04-14,0,0
8792009665,2016-04-14,3,0.05
8792009665,2016-04-14,1,0.016667
8792009665,2016-04-14,6,0.1
8792009665,2016-04-15,12,0.2
8792009665,2016-04-15,3,0.05
8792009665,2016-04-15,2,0.033333
8792009665,2016-04-15,4,0.066667
8792009665,2016-04-15,1,0.016667
8792009665,2016-04-15,0,0
8792009665,2016-04-15,0,0
8792009665,2016-04-15,0,0
8792009665,2016-04-15,0,0
8792009665,2016-04-15,2,0.033333
8792009665,2016-04-15,4,0.066667
8792009665,2016-04-15,11,0.183333
8792009665,2016-04-15,4,0.066667
8792009665,2016-04-15,2,0.033333
8792009665,2016-04-15,0,0
8792009665,2016-04-15,3,0.05
8792009665,2016-04-15,10,0.166667
8792009665,2016-04-15,4,0.066667
8792009665,2016-04-15,29,0.483333
8792009665,2016-04-15,15,0.25
8792009665,2016-04-15,9,0.15
8792009665,2016-04-15,0,0
8792009665,2016-04-15,7,0.116667
8792009665,2016-04-15,4,0.066667
8792009665,2016-04-16,4,0.066667
8792009665,2016-04-16,8,0.133333
8792009665,2016-04-16,0,0
8792009665,2016-04-16,0,0
8792009665,2016-04-16,0,0
8792009665,2016-04-16,0,0
8792009665,2016-04-16,0,0
8792009665,2016-04-16,0,0
8792009665,2016-04-16,0,0
8792009665,2016-04-16,0,0
8792009665,2016-04-16,0,0
8792009665,2016-04-16,0,0
8792009665,2016-04-16,0,0
8792009665,2016-04-16,0,0
8792009665,2016-04-16,0,0
8792009665,2016-04-16,0,0
8792009665,2016-04-16,0,0
8792009665,2016-04-16,0,0
8792009665,2016-04-16,0,0
8792009665,2016-04-16,0,0
8792009665,2016-04-16,0,0
8792009665,2016-04-16,0,0
8792009665,2016-04-16,0,0
8792009665,2016-04-16,0,0
8792009665,2016-04-17,0,0
8792009665,2016-04-17,0,0
8792009665,2016-04-17,0,0
8792009665,2016-04-17,0,0
8792009665,2016-04-17,0,0
8792009665,2016-04-17,0,0
8792009665,2016-04-17,0,0
8792009665,2016-04-17,0,0
8792009665,2016-04-17,0,0
8792009665,2016-04-17,0,0
8792009665,2016-04-17,0,0
8792009665,2016-04-17,0,0
8792009665,2016-04-17,0,0
8792009665,2016-04-17,0,0
8792009665,2016-04-17,0,0
8792009665,2016-04-17,0,0
8792009665,2016-04-17,0,0
8792009665,2016-04-17,0,0
8792009665,2016-04-17,0,0
8792009665,2016-04-17,0,0
8792009665,2016-04-17,0,0
8792009665,2016-04-17,0,0
8792009665,2016-04-17,0,0
8792009665,2016-04-17,0,0
8792009665,2016-04-18,0,0
8792009665,2016-04-18,0,0
8792009665,2016-04-18,0,0
8792009665,2016-04-18,0,0
8792009665,2016-04-18,0,0
8792009665,2016-04-18,0,0
8792009665,2016-04-18,0,0
8792009665,2016-04-18,0,0
8792009665,2016-04-18,0,0
