Id,ActivityHour,StepTotal
4558609924,2016-04-12,0
4558609924,2016-04-12,0
4558609924,2016-04-12,0
4558609924,2016-04-12,0
4558609924,2016-04-12,0
4558609924,2016-04-12,0
4558609924,2016-04-12,151
4558609924,2016-04-12,208
4558609924,2016-04-12,163
4558609924,2016-04-12,514
4558609924,2016-04-12,526
4558609924,2016-04-12,397
4558609924,2016-04-12,230
4558609924,2016-04-12,277
4558609924,2016-04-12,561
4558609924,2016-04-12,24
4558609924,2016-04-12,684
4558609924,2016-04-12,402
4558609924,2016-04-12,398
4558609924,2016-04-12,161
4558609924,2016-04-12,148
4558609924,2016-04-12,146
4558609924,2016-04-12,145
4558609924,2016-04-12,0
4558609924,2016-04-13,0
4558609924,2016-04-13,0
4558609924,2016-04-13,0
4558609924,2016-04-13,0
4558609924,2016-04-13,0
4558609924,2016-04-13,0
4558609924,2016-04-13,0
4558609924,2016-04-13,0
4558609924,2016-04-13,0
4558609924,2016-04-13,0
4558609924,2016-04-13,0
4558609924,2016-04-13,272
4558609924,2016-04-13,701
4558609924,2016-04-13,316
4558609924,2016-04-13,292
4558609924,2016-04-13,113
4558609924,2016-04-13,1957
4558609924,2016-04-13,1303
4558609924,2016-04-13,24
4558609924,2016-04-13,0
4558609924,2016-04-13,0
4558609924,2016-04-13,0
4558609924,2016-04-13,0
4558609924,2016-04-13,0
4558609924,2016-04-14,0
4558609924,2016-04-14,0
4558609924,2016-04-14,0
4558609924,2016-04-14,0
4558609924,2016-04-14,0
4558609924,2016-04-14,0
4558609924,2016-04-14,0
4558609924,2016-04-14,0
4558609924,2016-04-14,0
4558609924,2016-04-14,622
4558609924,2016-04-14,280
4558609924,2016-04-14,238
4558609924,2016-04-14,528
4558609924,2016-04-14,688
4558609924,2016-04-14,1032
4558609924,2016-04-14,71
4558609924,2016-04-14,984
4558609924,2016-04-14,966
4558609924,2016-04-14,216
4558609924,2016-04-14,431
4558609924,2016-04-14,576
4558609924,2016-04-14,112
4558609924,2016-04-14,55
4558609924,2016-04-14,0
4558609924,2016-04-15,0
